title,price,location,beds,baths,area,url,property_type,purpose,creation_date
5.7 Marla Brand New Ultra Modern House For Sale In Johar Town Near To Main Road Or Walking Emporium Mall Or Lahore Expo Center,3.8 Crore,"Johar Town Phase 2, Johar Town",6,6,5.7 Marla,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_7_marla_brand_new_ultra_modern_house_for_sale_in_johar_town_near_to_main_road_or_walking_emporium_mall_or_lahore_expo_center-54381457-3961-1.html,House,For Sale,4 days ago
10 Marla House For Sale In Beautiful LDA Avenue,3.9 Crore,"LDA Avenue, Lahore",6,7,10 Marla,https://www.zameen.com/Property/lahore_lda_avenue_10_marla_house_for_sale_in_beautiful_lda_avenue-52414476-547-1.html,House,For Sale,4 days ago
"3 Marla 1 Month Used House Available For Sale In Al Kabir Town Phase 2 Opposite In Lake City, Main Raiwind Road,Lahore.",1.05 Crore,"Al-Kabir Town - Phase 2, Al-Kabir Town",4,5,3 Marla,https://www.zameen.com/Property/al_kabir_town_al-kabir_town_-_phase_2_3_marla_1_month_used_house_available_for_sale_in_al_kabir_town_phase_2_opposite_in_lake_city_main_raiwind_road_lahore-54341346-11704-1.html,House,For Sale,3 days ago
5 MARLA ULTRA MODREN HOUSE AVALIBLE FOR SALE PHASE 9 TOWN DHA LAHORE,2.45 Crore,"DHA 9 Town, DHA Defence",3,4,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_ultra_modren_house_avalible_for_sale_phase_9_town_dha_lahore-54440385-1452-1.html,House,For Sale,3 days ago
Corner House Of 1 Kanal For sale In DHA Phase 5 - Block J,8.35 Crore,"DHA Phase 5 - Block J, DHA Phase 5",4,5,1 Kanal,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_j_corner_house_of_1_kanal_for_sale_in_dha_phase_5_-_block_j-54326976-1606-1.html,House,For Sale,3 days ago
Prime Location 2 Kanal House In DHA Phase 5 - Block E Best Option,21 Crore,"DHA Phase 5 - Block E, DHA Phase 5",5,6,2 Kanal,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_e_prime_location_2_kanal_house_in_dha_phase_5_-_block_e_best_option-54439024-1602-1.html,House,For Sale,3 days ago
Buying A Prime Location House In Al Hafeez Garden - Phase 2?,2.6 Crore,"Al Hafeez Garden - Phase 2, Main Canal Bank Road",3,4,5 Marla,https://www.zameen.com/Property/main_canal_bank_road_al_hafeez_garden_-_phase_2_buying_a_prime_location_house_in_al_hafeez_garden_-_phase_2-54438244-11172-1.html,House,For Sale,3 days ago
10 Marla Spanish Bungalow at Prime Location,6.5 Crore,"DHA Phase 6 - Block D, DHA Phase 6",4,5,10 Marla,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_d_10_marla_spanish_bungalow_at_prime_location-54250058-1613-1.html,House,For Sale,12 hours ago
5 Marla Ultra Modern Designer House with pool For Sale in Dha Phase 9 Town,2.8 Crore,"DHA 9 Town, DHA Defence",3,5,5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_ultra_modern_designer_house_with_pool_for_sale_in_dha_phase_9_town-54451841-1452-1.html,House,For Sale,12 hours ago
500 Square Feet Flat In Lahore Is Available For Sale,60 Lakh,"Bahria Town - Sector F, Bahria Town",1,1,2.2 Marla,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_f_500_square_feet_flat_in_lahore_is_available_for_sale-54422469-3097-1.html,Flat,For Sale,15 hours ago
3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,1.6 Crore,"Park View City, Lahore",4,5,5 Marla,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54337213-1466-1.html,House,For Sale,15 hours ago
Property For sale In Bahria Town - Sector D Lahore Is Available Under Rs. 6000000,60 Lakh,"Bahria Town - Sector D, Bahria Town",1,1,2.2 Marla,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_d_property_for_sale_in_bahria_town_-_sector_d_lahore_is_available_under_rs_6000000-54438356-1796-1.html,Flat,For Sale,15 hours ago
Prominently-Located 500 Square Feet Flat Available In Bahria Town - Sector E,60 Lakh,"Bahria Town - Sector E, Bahria Town",1,1,2.2 Marla,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_prominently-located_500_square_feet_flat_available_in_bahria_town_-_sector_e-54438354-1802-1.html,Flat,For Sale,15 hours ago
8 Marla House In Central Bahria Town - Umar Block For sale,3.25 Crore,"Bahria Town - Umar Block, Bahria Town - Sector B",4,4,8 Marla,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_umar_block_8_marla_house_in_central_bahria_town_-_umar_block_for_sale-54437608-1781-1.html,House,For Sale,15 hours ago
